02 Oct 2015 19:04:10 | ABUNDANT |    version |     INFO | Created non-base version be1cc1ec-d97c-4ff4-b455-bb5611f9d186
02 Oct 2015 19:04:10 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 19:04:10 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 19:04:10 | ABUNDANT |    version |    DEBUG | Version record found: be1cc1ec-d97c-4ff4-b455-bb5611f9d186
02 Oct 2015 19:04:10 | ABUNDANT |    archive |    DEBUG | Found 3 versions
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Migrating version 9102c944-932f-4769-ace0-4130b3b3f6a3 to 859b1c2b-ace7-44b9-8c03-7a0c230ae00f...
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\859b1c2b-ace7-44b9-8c03-7a0c230ae00f\a.ini
02 Oct 2015 19:04:36 | ABUNDANT |    version |     INFO | Copied 1 file
02 Oct 2015 19:04:36 | ABUNDANT |    version |     INFO | Version 859b1c2b-ace7-44b9-8c03-7a0c230ae00f is now base version
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Version record found: be1cc1ec-d97c-4ff4-b455-bb5611f9d186
02 Oct 2015 19:04:36 | ABUNDANT |    archive |    DEBUG | Found 2 versions
02 Oct 2015 19:04:36 | ABUNDANT |    version |     INFO | Removed version 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 19:04:36 | ABUNDANT |    version |     INFO | Migrated 9102c944-932f-4769-ace0-4130b3b3f6a3 to 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Version record found: be1cc1ec-d97c-4ff4-b455-bb5611f9d186
02 Oct 2015 19:04:36 | ABUNDANT |    archive |    DEBUG | Found 2 versions
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Migrating version 859b1c2b-ace7-44b9-8c03-7a0c230ae00f to be1cc1ec-d97c-4ff4-b455-bb5611f9d186...
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\a.ini
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-code.zip
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime.zip
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans.zip
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-code\Courier Prime Code Italic.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-code\Courier Prime Code.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-code\__MACOSX\._Courier Prime Code Italic.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-code\__MACOSX\._Courier Prime Code.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\Courier Prime\.DS_Store
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\Courier Prime\Courier Prime Bold Italic.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\Courier Prime\Courier Prime Bold.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\Courier Prime\Courier Prime Italic.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\Courier Prime\Courier Prime.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\Courier Prime\Read me.txt
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\Courier Prime\LICENSE\OFL-FAQ.txt
